superconductors,measured_Tc,materials_family
Ag0.438Hg0.562,0.64,others
Bi3La5,0.64,heavy-Fermion
U0.92Gd0.02Pd2Al3,0.64,heavy-Fermion
Pd3Sn2,0.64,others
Fe0.008Mo99.992,0.645,others
Ce1Cu2Si2,0.6497,heavy-Fermion
Rb1V6S8,0.65,others
C1Fe3,0.65,others
Re1Ta1,0.65,others
Ca1Pb3,0.65,others
Al2.06Cu1,0.65,others
Rh1Y3,0.65,others
U0.97Mo0.03,0.65,others
Sb1V3,0.65,others
Al0.029Ti0.971,0.65,others
P1Rh2,0.65,others
Be13U0.9899Th0.0101,0.65,heavy-Fermion
O2,0.65,others
Os1,0.650333,others
Au0.64Ge0.22Yb0.14,0.655,others
Th0.99873U0.127,0.658,others
U0.9911Th0.0089Be13,0.66,heavy-Fermion
Pd6Se1,0.66,others
Pd6.7Se1,0.66,others
Ce1Ir1In4.97Sn0.03,0.66,heavy-Fermion
Au0.23V0.77,0.66,others
Ir0.8Re0.2,0.66,others
Sr1Ni2As2,0.66,others
Nb3Os1,0.663333,others
U1Co1Ge0.98Si0.02,0.667,heavy-Fermion
La0.46Ce0.54Ru2,0.668,heavy-Fermion
Ce1Pt3Si1,0.669222,heavy-Fermion
Be13U0.9934Th0.0066,0.67,heavy-Fermion
Th70.2Tm29.8,0.67,others
La1In0.75Sn2.25,0.67,heavy-Fermion
Ce1Rh0.2Ir0.8In5,0.67,heavy-Fermion
Th2Zn1,0.67,heavy-Fermion
Lu1Pd2Si2,0.67,heavy-Fermion
Pd9Se2,0.67,others
Cd0.02Zn0.98,0.675,others
Ce1Co1Ge3,0.676667,heavy-Fermion
Y6Ta4Al43,0.68,others
Au64Ge22Yb14,0.68,heavy-Fermion
Ba1Ni2Ge1P1,0.68,others
Pb0.38Sn0.57In0.05Te1,0.68,others
Sn0.76Ge0.19In0.05Te1,0.68,others
Ru0.58Rh0.42As1,0.68,others
K1Hg1C4,0.68125,others
U0.95Pd0.05,0.69,others
Th0.95Zr0.05,0.69,others
Ni2Zr1Al1,0.69,others
Ga3Zr1,0.69,others
Pr1Pt4Ge9.5Sb2.5,0.69,heavy-Fermion
Ce2Pd1In8,0.69,heavy-Fermion
Y1V2Al20,0.69,others
U0.95Pt0.05,0.69,others
Y1In2.25Sn0.75,0.69,others
Ce1Cu2.05Si2,0.7,heavy-Fermion
In1Pd1,0.7,others
Ho1Rh4B4,0.7,heavy-Fermion
Os0.89Re0.11,0.7,others
La0.95Pr0.05Se1,0.7,others
Nd1Pt4Ge12,0.7,heavy-Fermion
Al0.053Ti0.947,0.7,others
Al99.925Mn0.075,0.7,others
O0.91Ti1,0.7,others
Ce0.02Th0.98,0.7,others
In3La1,0.7,heavy-Fermion
Bi1Mg1,0.7,others
Sn0.57Pb0.38In0.05Te1,0.703,others
K1V6S8,0.71,others
Co0.01Mo99.99,0.71,others
Co1Ti1,0.71,others
Cr0.06Mo0.94,0.71,others
Gd0.002Th0.998,0.714,others
Ir1Sn2,0.715,others
Be21Ni5,0.72,others
Ce1Pt2.97Si1,0.72,heavy-Fermion
Sb1Ta3,0.72,others
O1Ti1,0.72,others
C2La1,0.72,others
O0.92Ti1,0.72,others
B3Be1.09,0.72,others
Th0.999U0.1,0.725,others
C1Si1,0.725,others
La0.6Ce0.4Ru2,0.727,heavy-Fermion
Th0.05Zr0.95,0.73,others
Al0.102Ti0.898,0.73,others
Al1Zr3,0.73,others
Bi2Ni3Se2,0.73,others
Ir0.6Os0.4,0.73,others
Os0.81Re0.19,0.73,others
Ce1Ir0.978Pt0.022In5,0.734,heavy-Fermion
Ce1Pd5Al2,0.735,heavy-Fermion
Nd0.4Ce0.83Co1In5,0.74,heavy-Fermion
U0.94Mo0.06,0.74,others
Tl0.26V6S8,0.74,others
