,measured_Tc,materials_family
Dy5Os4Si15,3.5,heavy-Fermion
Lu0.75Th0.25Rh4B4,11.93,heavy-Fermion
Tb0.8Th0.2Fe1As1O1,52.0,iron-based
Er1Ba1Sr1Cu3O6.94,78.0,cuprate
Er0.97Pr0.03Ba2Cu3O7,93.9,cuprate
Lu1Rh1.2Sn4,4.0,heavy-Fermion
Er2Ba4Cu7O14.92,89.0,cuprate
Er2Fe3Si5,0.465,heavy-Fermion
Lu4Rh6Sn19,4.0,heavy-Fermion
Sn19Er4Rh6,1.32,heavy-Fermion
Y4Os6Sn19,2.5,others
